nro_registro;tipo_activ;comuna;manzana;calle_nombre;calle_altura;direccion_normalizada;nombre_cientifico;estado_plantera;ubicacion_plantera;nivel_plantera;diametro_altura_pecho;altura_arbol
26528;Lineal;3; ;Riobamba;0;RIOBAMBA 74;No identificado;Ocupada;Regular;A nivel;142;
314678;Lineal;7;161;La Portena;0;LA PORTEnA 90;Fraxinus pennsylvanica;Ocupada;Regular;A nivel;142;10
341086;Lineal;10;341;Pergamino;0;PERGAMINO 21;Fraxinus excelsior;Ocupada;Regular;A nivel;143;
218919;Lineal;15;599;Viale Luis;0;VIALE, LUIS 74;Fraxinus pennsylvanica;Ocupada;Regular;A nivel;143;
228534;Lineal;15;883;Fraga;0;FRAGA 128;No identificado;Ocupada;Regular;A nivel;143;3
230027;Lineal;15;883;Guevara;0;GUEVARA 145;Melia azedarach;Ocupada;Regular;A nivel;143;14
228649;Lineal;15;883;Fraga;0;FRAGA 154;No identificado;Ocupada;Regular;A nivel;143;2
261678;Lineal;15;637;Arganaraz;0; ;Fraxinus pennsylvanica;Ocupada;Regular;A nivel;143;2
344063;Lineal;10;341;Azul;0;AZUL 72;Fraxinus excelsior;Ocupada;Regular;Bajo nivel;143;9
211624;Lineal;15;637;Arganaraz;0; ;No identificado;Ocupada;Regular;Bajo nivel;143;3
34318;Lineal;3; ;Azcuenaga;0;AZCUENAGA 61;No identificado;Ocupada;Regular;Elevada;143;
304237;Lineal;7;390;Estrada;0;ESTRADA 30;Fraxinus pennsylvanica;Ocupada;Regular;Elevada;143;11
238852;Lineal;15;141;14 de Julio;1;14 DE JULIO 19;Ficus benjamina;Ocupada;Regular;A nivel;143;5
329480;Lineal;10;324;Cuenca;17;CUENCA 862;Fraxinus oxicarpa;Ocupada;Regular;A nivel;143;
5417;Lineal;5; ;Castro;70;CASTRO 747;Acer campestre;Ocupada;Regular;Elevada;144;
70550;Lineal;14; ;Baez;100;BAEZ 121;No identificado;Ocupada;Fuera de linea;A nivel;145;
30372;Lineal;3; ;Jujuy Av.;100;JUJUY AV. 35;No identificado;Cerrada;Regular;A nivel;145;
39882;Lineal;1; ;Tucuman;100;TUCUMAN 133;No identificado;Ocupada;Regular;A nivel;145;
408598;Lineal;1;614;Garay Juan de, Av;100;GARAY, JUAN DE AV. 130;Fraxinus americana;Ocupada;Regular;A nivel;145;15
27271;Lineal;3; ;Sarandi;100;SARANDI 154;Ficus benjamina;Ocupada;Regular;A nivel;146;3
38405;Lineal;3; ;Rinc�n;100;RINCON 175;Ficus benjamina;Ocupada;Regular;A nivel;146;14
38406;Lineal;3; ;Rinc�n;100;RINCON 175;Ficus benjamina;Ocupada;Regular;A nivel;146;14
38410;Lineal;3; ;Rinc�n;100;RINCON 175;Ficus benjamina;Ocupada;Regular;A nivel;147;14
42530;Lineal;3; ;Alberti;100;ALBERTI 158;Ligustrum lucidum;Ocupada;Regular;A nivel;147;5
43173;Lineal;3; ;Alberti;100;ALBERTI 179;Fraxinus pennsylvanica;Ocupada;Regular;A nivel;148;
10274;Lineal;5; ;Colombres;100;COLOMBRES 149;No identificado;Ocupada;Regular;A nivel;148;
16851;Lineal;5; ;Liniers Virrey;100;LINIERS VIRREY 131;Platanus x acerifolia;Ocupada;Regular;A nivel;148;18