TREE_ID;CIVIC_NUMBER;STD_STREET;GENUS_NAME;SPECIES_NAME;CULTIVAR_NAME;COMMON_NAME;ASSIGNED;ROOT_BARRIER;PLANT_AREA;ON_STREET_BLOCK;ON_STREET;NEIGHBOURHOOD_NAME;STREET_SIDE_NAME;HEIGHT_RANGE_ID;DIAMETER;CURB;DATE_PLANTED;Geom
20666;2838;W 19TH AV;PRUNUS;CERASIFERA;ATROPURPUREUM;PISSARD PLUM;N;N;10;2800;W 19TH AV;ARBUTUS-RIDGE;EVEN;3;20.0;Y;;"{""type"": ""Point"", ""coordinates"": [-123.16858, 49.25546]}"
20667;2839;W 19TH AV;PRUNUS;CERASIFERA;ATROPURPUREUM;PISSARD PLUM;N;N;8;2800;W 19TH AV;ARBUTUS-RIDGE;ODD;3;20.0;Y;;"{""type"": ""Point"", ""coordinates"": [-123.16864, 49.25557]}"
20676;2881;W 19TH AV;PRUNUS;CERASIFERA;ATROPURPUREUM;PISSARD PLUM;N;N;8;2800;W 19TH AV;ARBUTUS-RIDGE;ODD;3;24.5;Y;;"{""type"": ""Point"", ""coordinates"": [-123.16958, 49.25557]}"
20680;510;W GEORGIA ST;PARROTIA;PERSICA;VANESSA;VANESSA PERSIAN IRONWOOD;N;N;C;700;SEYMOUR ST;DOWNTOWN;EVEN;1;3.0;Y;;
20683;2908;W 19TH AV;PRUNUS;CERASIFERA;ATROPURPUREUM;PISSARD PLUM;N;N;8;2900;W 19TH AV;ARBUTUS-RIDGE;EVEN;3;19.25;Y;;"{""type"": ""Point"", ""coordinates"": [-123.17028, 49.25547]}"
20701;3050;W 19TH AV;PRUNUS;CERASIFERA;ATROPURPUREUM;PISSARD PLUM;N;N;8;3000;W 19TH AV;ARBUTUS-RIDGE;EVEN;3;22.5;Y;;"{""type"": ""Point"", ""coordinates"": [-123.17361, 49.25548]}"
20702;3060;W 19TH AV;MALUS;FLORIBUNDA;;JAPANESE FLOWERING CRABAPPLE;N;N;8;3000;W 19TH AV;ARBUTUS-RIDGE;EVEN;3;13.0;Y;;"{""type"": ""Point"", ""coordinates"": [-123.17382, 49.25548]}"
20713;3168;W 19TH AV;PRUNUS;CERASIFERA;ATROPURPUREUM;PISSARD PLUM;N;N;8;3100;W 19TH AV;ARBUTUS-RIDGE;EVEN;3;19.5;Y;;"{""type"": ""Point"", ""coordinates"": [-123.17548, 49.25549]}"
20720;3307;W 19TH AV;CEDRUS;SPECIES;;CEDAR SPECIES;N;N;B;3400;QUADRA ST;DUNBAR-SOUTHLANDS;ODD;6;14.0;Y;;"{""type"": ""Point"", ""coordinates"": [-123.1793, 49.25585]}"
20722;1192;E 26TH AV;ACER;SPECIES;;MAPLE SPECIES;N;N;6;4200;INVERNESS ST;KENSINGTON-CEDAR COTTAGE;ODD;1;3.0;N;2016-03-16;
20723;3308;W 19TH AV;AESCULUS;HIPPOCASTANUM;;COMMON HORSECHESTNUT;N;N;12;3300;W 19TH AV;DUNBAR-SOUTHLANDS;EVEN;5;36.0;Y;;"{""type"": ""Point"", ""coordinates"": [-123.17935, 49.25551]}"
20730;3322;W 19TH AV;AESCULUS;HIPPOCASTANUM;;COMMON HORSECHESTNUT;N;N;12;3300;W 19TH AV;DUNBAR-SOUTHLANDS;EVEN;5;31.0;Y;;"{""type"": ""Point"", ""coordinates"": [-123.17951, 49.25551]}"
20733;3349;W 19TH AV;AESCULUS;HIPPOCASTANUM;;COMMON HORSECHESTNUT;N;N;12;3300;W 19TH AV;DUNBAR-SOUTHLANDS;ODD;6;30.0;Y;;"{""type"": ""Point"", ""coordinates"": [-123.17988, 49.25561]}"
20735;3377;W 19TH AV;AESCULUS;HIPPOCASTANUM;;COMMON HORSECHESTNUT;N;N;12;3300;W 19TH AV;DUNBAR-SOUTHLANDS;ODD;6;30.0;Y;;"{""type"": ""Point"", ""coordinates"": [-123.18001, 49.25561]}"
20736;3391;W 19TH AV;AESCULUS;HIPPOCASTANUM;;COMMON HORSECHESTNUT;N;N;12;3300;W 19TH AV;DUNBAR-SOUTHLANDS;ODD;5;28.0;Y;;"{""type"": ""Point"", ""coordinates"": [-123.1802, 49.25561]}"
20739;3414;W 19TH AV;AESCULUS;HIPPOCASTANUM;;COMMON HORSECHESTNUT;N;N;12;3400;W 19TH AV;DUNBAR-SOUTHLANDS;EVEN;5;30.0;Y;;"{""type"": ""Point"", ""coordinates"": [-123.18035, 49.25551]}"
20740;3415;W 19TH AV;AESCULUS;HIPPOCASTANUM;;COMMON HORSECHESTNUT;N;N;12;3400;W 19TH AV;DUNBAR-SOUTHLANDS;ODD;5;24.0;Y;;"{""type"": ""Point"", ""coordinates"": [-123.18051, 49.25561]}"
20741;3422;W 19TH AV;AESCULUS;HIPPOCASTANUM;;COMMON HORSECHESTNUT;N;N;12;3400;W 19TH AV;DUNBAR-SOUTHLANDS;EVEN;5;30.0;Y;;"{""type"": ""Point"", ""coordinates"": [-123.1805, 49.25551]}"
20759;3478;W 19TH AV;ACER;CAMPESTRE;;HEDGE MAPLE;N;N;12;3400;W 19TH AV;DUNBAR-SOUTHLANDS;EVEN;3;18.0;Y;;"{""type"": ""Point"", ""coordinates"": [-123.18132, 49.25552]}"
20760;3479;W 19TH AV;AESCULUS;HIPPOCASTANUM;;COMMON HORSECHESTNUT;N;N;12;3400;W 19TH AV;DUNBAR-SOUTHLANDS;ODD;7;29.0;Y;;"{""type"": ""Point"", ""coordinates"": [-123.18132, 49.25562]}"
20762;4114;BRANT ST;ACER;CAMPESTRE;RED SHINE;RED SHINE MAPLE;N;N;N;4100;BRANT ST;KENSINGTON-CEDAR COTTAGE;EVEN;1;6.3;Y;2009-12-29;"{""type"": ""Point"", ""coordinates"": [-123.05789, 49.248564]}"